Username,Comment,Rating,Time,IdProduct
channdayo,"Ngồi canh 12h đêm nhưng ko có màu hồng. Mình ráng canh tới chiều thấy lên được 1 cái chụp mua liền luôn 🤣 Giá 22tr5 cũng ổn nhưng ko bằng lúc 12h đêm có 21tr hà. Hồng pastel xinh lắm, ko nhạt, ko quá đậm. Giao từ HN cả tuần mới tới HCM. Đóng gói kĩ.",5,2022-01-03 15:01:57,10753341705
thuylinh831998,"Đóng gói kỹ, nguyên seal, có 3 tem của FPT. Hàng VN/A, thấy các bạn tư vấn nhiệt tình chứ k như nhiều người bảo k reply.",5,2022-01-07 15:24:48,10753341705
lynlykit,"Điện thoại chính hãng mua săn sale giá rẻ còn 21tr5, giao nhanh lắm luôn, mua đt trên shopee nhiều lần quen luôn.",5,2022-01-07 20:14:19,10753341705
o*****1,"Shop đóng gói hàng cẩn thận, mới dùng thấy khá ok. Mong sản phẩm tốt",5,2022-01-03 14:19:46,10753341705
d*****4,"Shop đóng gói kỹ, giao hàng hơi lâu. Chất lượng sản phẩm ổn. Thanks shop, thanks shopee",5,2022-01-01 08:40:51,10753341705
hey1101,"Lần đầu mua đồ điện tử trên shopee, cũng hơn rén. Nhưng nhận được hàng khá ok ạ",5,2022-01-07 13:34:34,10753341705
hao.ng,"Trả tiền nhận tại Door nhưng phải ghé Bưu cục lấy. Vì bên VC nói là ""Rule"" và bưu cục mới có camera để đồng kiểm. Cũng may là mua  điện thoại. Mua iMac không biết chở kiểu gì.",2,2021-12-15 15:01:17,10753341705
nduchuy2511,Shopee mall hàng phải chất rồi,5,2021-11-25 14:02:36,10753341705
linhminho123,Giá tốt so vs thị trường giao hàng cũng khá nha,5,2021-11-26 23:09:23,10753341705
t*****u,"Shipper thân thiện cẩn thận, hàng chuẩn ko bể vỡ gì hết từ hộp tới tem tới đt. Siêu ưng vì mua đc giá tốt. Ship cũng nhanh nha từ 11/11 tới g 4 ngày kể cả cuối tuần. Màu hồng sang chảnh đẹp xỉu",5,2021-11-15 00:09:54,10753341705
quotvinh,"Phản hồi chat rất lâu, nhưng cũng tận tình, ship từ HN tới SG cũng nhanh, shop uy tín, hàng đúng chất lượng",4,2021-11-15 18:11:05,10753341705
huongnguyen1111111111,"Chất lượng sp ok, nhưng giao hàng quá lâu,  
Hơn cả tuần .  Hết luôn cả hot.",5,2021-11-18 10:28:47,10753341705
